,title,subtitle,link
12,BIG DEAL,Premier League: Claim £30 in free football accas when you bet £10 with Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-football-free-bets/
13,'STILL PLAYING?',"Watch ex-Arsenal star, 37, score from HALFWAY LINE leaving fans stunned",https://www.thesun.co.uk/sport/22352160/arsenal-gael-clichy-halfway-line-stunned-fans/
14,ALL FER ONE,Arsenal target Mendy has fee SLASHED - but agent threatens to wreck move,https://www.thesun.co.uk/sport/22352510/arsenal-ferland-mendy-transfer-real-madrid-agent/
15,WHAT A MESS,Messi booed by PSG fans in first game since Saudi trip amid Barca transfer talk,https://www.thesun.co.uk/sport/22352458/messi-booed-psg-fans-saudi-barcelona-transfer/
16,WALK AWAY,Walker to snub interest from Europe giant as his City contract runs down,https://www.thesun.co.uk/sport/22349716/kyle-walker-transfer-europe-man-city/
17,TOP OFFER,Football betting offer of the day: Get £30 in free bets with Bet UK,https://www.thesun.co.uk/sport/20468877/football-sign-up-offer-free-bets-bet-uk/
18,TO THE PUNCH,Bournemouth's Lerma breaks his nose after being ‘punched’ by Palace's Andersen,https://www.thesun.co.uk/sport/22350222/bournemouth-jefferson-lerma-crystal-palace-joachim-andersen/
19,GARNA BE GREAT,Man Utd fans 'can't wait for link-up' as they spot Garnacho DM'ing wonderkid,https://www.thesun.co.uk/sport/22345385/man-united-garnacho-diallo-fans/
20,MILAN MESSAGE,Amazing moment AC Milan stars spoken to pitchside by club ultras after loss,https://www.thesun.co.uk/sport/22351687/ac-milan-club-ultras-serie-a-spezia/
21,GUARD COP,Arsenal have Met cop at training ground to stop team being targeted by thieves,https://www.thesun.co.uk/sport/22350043/arsenal-met-police-officer-training-ground-players-thieves/
22,COMP,Win a Ford Transit or £30k cash from just 89p with our special discount code,https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-competition-7dp/
23,BONUS,All the best no deposit bonuses available for casino punters,https://www.thesun.co.uk/betting/21007381/best-no-deposit-casino-bonuses/
24,FREE SPINS,Get up to 100 free spins and 100% matched deposit bonus with Duelz Casino,https://www.thesun.co.uk/betting/21848309/matched-deposit-bonus-duelz-casino/
25,FREE SPINS,Free spins bonuses for UK players in 2023: Get the best free spin offers,https://www.thesun.co.uk/betting/22174907/free-spins-bonuses/
26,YOUNG LIONS,Where England's 2017 U20 World Cup winners are now with two switching country,https://www.thesun.co.uk/sport/22336456/where-england-world-cup-winners-now/
27,NOT SO SAINTLY,Ward-Prowse in astonishing rant at Southampton team-mates after relegation,https://www.thesun.co.uk/sport/22349086/james-ward-prowse-southampton-team-mates-relegation/
28,ALARM BELLS,Jude Bellingham's brother Jobe spotted at stadium as prodigy nears transfer,https://www.thesun.co.uk/sport/22351936/jude-bellingham-brother-jobe-sunderland-transfer/
29,MOLI-NEW ERA,How Wolves and their legendary boss accidentally created the Champions League,https://www.thesun.co.uk/sport/22338126/wolves-stan-cullis-accidentally-created-european-cup-champions-league/
30,BAD LUK,Ex-Spurs starlet who Pochettino gave Premier League debut left unemployed at 26,https://www.thesun.co.uk/sport/22352787/luke-amos-tottenham-pochettino-debut-released/
31,WHAT THE ELL?,Angry Leeds fan SHOVES Newcastle boss Eddie Howe before he is charged,https://www.thesun.co.uk/sport/22346957/eddie-howe-newcastle-leeds-security/
32,SMART MART,Man Utd ready to hand Martinez MASSIVE pay rise.. but defender will have to wait,https://www.thesun.co.uk/sport/22349876/man-utd-lisandro-martinez-pay-rise-deal/
33,HE'S NO SAINT,Fans in disbelief at Jones interview as he makes bold claim on Sky Sports,https://www.thesun.co.uk/sport/22347205/nathan-jones-southampton-manager-sky-sports/
34,GOD COMPLEX,I arrived at Everton a God and held hot-tub party but Moyes took the p***,https://www.thesun.co.uk/sport/22328774/everton-hot-tub-david-moyes-royston-drenthe/
35,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
36,SOL SEARCHING,Solskjaer looks tense as he returns to Old Trafford for first time since axe,https://www.thesun.co.uk/sport/22347328/ole-gunnar-solskjaer-man-utd-wolves/
37,DOWN THE PAN,Watch as ex-Prem star left embarrassed as Panenka penalty goes horribly wrong,https://www.thesun.co.uk/sport/22348959/john-bostock-panenka-penalty-notts-county/
38,AMAD ABOUT YOU,Fans beg Diallo to 'save Man Utd from the shackles of Antony' after screamer,https://www.thesun.co.uk/sport/22348724/man-utd-news-amad-diallo-sunderland-free-kick/
39,BABY BLUES,Man Utd ace Alejandro Garnacho posts message to unborn baby after goal vs Wolves,https://www.thesun.co.uk/sport/22349632/alejandro-garnacho-baby-manchester-united-wolves/
40,TRANSFER KINGS,Inside Brighton's amazing transfer after raking in more than £200MILLION,https://www.thesun.co.uk/sport/22350320/brighton-amazing-transfer-dealings-arsenal/
41,CHELSEA RATINGS,Sterling puts on vintage display but returning Mendy has shocker vs Forest,https://www.thesun.co.uk/sport/football/22346180/chelsea-player-ratings-nottingham-forest/
42,PACKED OUT,Premier League set for major change to broadcasting schedule in boost to fans,https://www.thesun.co.uk/sport/22345076/premier-league-change-broadcasting-schedule/
43,VILLA 2 SPURS 1,Tottenham suffer Europa battle blow after goals from Ramsey and Luiz,https://www.thesun.co.uk/sport/22288438/aston-villa-vs-tottenham-live-score-latest-updates-premier-league/
44,SOUTHAMPTON 0 FULHAM 2,Saints finally RELEGATED after dismal season with limp home loss,https://www.thesun.co.uk/sport/22347797/southampton-relegated-premier-league-championship/
45,CHELSEA 2 FOREST 2,Awoniyi double earns big point for Forest and piles more misery on Blues,https://www.thesun.co.uk/sport/22347632/chelsea-nottingham-forest-awoniyi-sterling/
46,COLD TRAFFORD,Solskjaer slams 'SNOWFLAKE' stars who go running to mum and dad,https://www.thesun.co.uk/sport/22345310/man-utd-ole-gunnar-solskjaer-mum-dad/
47,BACK FER GOOD,Ten Hag reinstates Sir Alex Ferguson tradition much to players' delight,https://www.thesun.co.uk/sport/22345331/erik-ten-hag-sir-alex-ferguson-man-utd/
48,NOT AL-DWIGHT,Former Man Utd masseur reveals Yorke went off the rails after treble triumph,https://www.thesun.co.uk/sport/22346396/man-utd-dwight-yorke-treble-rob-thornley/
49,SAFE HANDS,Fans all say the same thing as under-fire David De Gea WINS Premier Golden Glove,https://www.thesun.co.uk/sport/22348400/david-de-gea-wins-golden-glove/
50,ROYAL RUMBLE,Man Utd legend John O'Shea 'in running for first managerial job with EFL club',https://www.thesun.co.uk/sport/22343652/man-utd-john-oshea-reading-manager-chris-wilder/
51,STICKY TOFFEES,Pickford leads £250m of stars set to leave in firesale if Everton go down,https://www.thesun.co.uk/sport/22343364/pickford-250m-stars-everton-firesale-relegated/
52,SPURRED ON,Tottenham on verge of completing £30.5m first summer signing as rebuild begins,https://www.thesun.co.uk/sport/22342188/tottenham-close-completing-first-summer-transfer/
53,READY TO KO,Man Utd battling City for Kovacic with Chelsea resigned to losing him in summer,https://www.thesun.co.uk/sport/22345660/man-utd-city-mateo-kovacic-chelsea-transfer/
54,SUPER MARIO,Balotelli lined up for bizarre transfer with Arsenal star tipped to join him,https://www.thesun.co.uk/sport/22344651/mario-balotelli-transfer-arsenal-catalin-cirjan/
55,ONE IN A VILL,Villa plan stunning £200m spree as incoming chiefs makes £52m star top target,https://www.thesun.co.uk/sport/22322459/aston-villa-manuel-ugarte-transfer-sporting-lisbon-mateu-alemany/
56,UNITED LATEST,"United intend to 'rival Arsenal' for Rice transfer, Garnacho goal reaction",https://www.thesun.co.uk/sport/22225256/man-utd-transfer-news-live-takeover-sheikh-jassim-haaland/
57,ARSENAL LIVE,"Gunners Simakan interest, Xhaka 'likely to leave', Caidedo updates",https://www.thesun.co.uk/sport/22225429/arsenal-transfer-news-live-caicedo-guendouzi-zinchenko-injury/
58,TRANSFER NEWS LIVE,"Chelsea to CONFIRM Pochettino this week, Bellingham's Real TWIST",https://www.thesun.co.uk/sport/22225576/football-transfer-news-live-updates-chelsea-pochettino-bellingham/
59,NOTTS SO FAST,Notts County PROMOTED after dramatic penalty shootout win over Chesterfield,https://www.thesun.co.uk/sport/22348559/chesterfield-notts-county-playoff-final-wembley/
60,FACING FEARS,I'm an ex-star who had sex addiction and £80k debts - now I'm the 'Fear Coach',https://www.thesun.co.uk/sport/22309037/drewe-broughton-sex-addiction-debts-rehab-fear-coach/
61,BALE'S RETURN?,Gareth Bale addresses Wrexham move rumours as he views posh school for son,https://www.thesun.co.uk/sport/22342555/gareth-bale-addresses-rumours-wrexham-move/
62,MANN'S WORLD,"Villa star Alisha Lehmann blasts trolls, saying 'I'm a proper footballer'",https://www.thesun.co.uk/sport/22339694/aston-villa-womens-alisha-lehmann-hits-back-at-trolls/
63,ROLLS ROYST,I'm an ex-Premier League star who became an actor - I could be next James Bond,https://www.thesun.co.uk/sport/22323625/royston-drenthe-everton-real-madrid-actor-james-bond/
64,FAMILIAR FOXES,Leicester remind me of my Watford XI that went down - it's the subtle things,https://www.thesun.co.uk/sport/22341039/leicester-remind-me-watford-troy-deeney/
65,KARREN BRADY,PSG in a right Messi with expensive publicity stunt with Ronaldo edging closer,https://www.thesun.co.uk/sport/22343332/karren-brady-lionel-messi-psg-saudi-arabia/
66,DAVE KIDD,Ratcliffe will be Ten Hag's preferred bidder - as long as he's opposite to Boehly,https://www.thesun.co.uk/sport/22332168/jim-ratcliffe-ten-hag-man-utd-todd-boehly-chelsea/
67,BLO-WN AWAY,'Most beautiful girl in world' & child of ex-Prem ace sends fans wild in bikini,https://www.thesun.co.uk/sport/22346112/thylane-blondeau-patrick-premier-league-bikini/
68,MAD FOR HER,OnlyFans star and ex-footy ace Madelene Wright shines in cut-out dress and bra,https://www.thesun.co.uk/sport/22342143/onlyfans-charlton-footballer-madelene-wright/
69,SHEAR DELIGHT,Hollie Shearer shows off tan in bikini as fans brand her 'mermaid queen',https://www.thesun.co.uk/sport/22342604/hollie-shearer-tan-bikini-summer/
